Company,System,AutoParallel,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
Lenovo Group Limited,"Lenovo ThinkServer SD350 (2.10 GHz, Intel Xeon E5-2620 v4)",Yes,16,2,8,1,104.0,108,Intel Xeon E5-2620 v4
Lenovo Group Limited,"Lenovo ThinkServer RD550 (3.50 GHz, Intel Xeon E5-2637 v4)",Yes,8,2,4,1,110.0,113,Intel Xeon E5-2637 v4
Lenovo Group Limited,"Lenovo ThinkServer RD650 (2.40 GHz, Intel Xeon E5-2680 v4)",Yes,28,2,14,1,117.0,122,Intel Xeon E5-2680 v4
Lenovo Group Limited,"Lenovo ThinkServer RD650 (2.30 GHz, Intel Xeon E5-2697 v4)",Yes,36,2,18,1,121.0,127,Intel Xeon E5-2697 v4
M Computers s.r.o.,"HPC S2600WT2R (Intel Xeon E5-2650 v4, 2.2 GHz)",Yes,24,2,12,1,107.0,111,Intel Xeon E5-2650 v4
NEC Corporation,Express5800/B120g-h (Intel Xeon E5-2667 v4),Yes,16,2,8,1,122.0,126,Intel Xeon E5-2667 v4
NEC Corporation,Express5800/B120g-h (Intel Xeon E5-2699 v4),Yes,44,2,22,1,117.0,124,Intel Xeon E5-2699 v4
ACTION S.A.,"ACTINA SOLAR 222 S6 (Intel Xeon E5-2640 v4, 2.40 GHz)",Yes,20,2,10,1,106.0,111.0,Intel Xeon E5-2640 v4
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon CPU E5-4667 v4 2.20 GHz),Yes,72,4,18,1,115.0,120.0,Intel Xeon CPU E5-4667 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon CPU E7-8893 v4 3.20 GHz),Yes,16,4,4,1,116.0,121.0,Intel Xeon CPU E7-8893 v4 3.20 GHz
Cisco Systems,"Cisco UCS B420 M4 (Intel Xeon E5-4660 v4, 2.20 GHz)",Yes,64,4,16,1,115.0,120.0,Intel Xeon E5-4660 v4
Cisco Systems,Cisco UCS B420 M4 (Intel Xeon E5-4669 v4 2.20 GHz),Yes,88,4,22,1,116.0,121.0,Intel Xeon E5-4669 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon CPU E7-8891 v4 2.80 GHz),Yes,40,4,10,1,128.0,134.0,Intel Xeon CPU E7-8891 v4 2.80 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon CPU E7-4809 v4 2.10 GHz),Yes,32,4,8,1,88.8,92.1,Intel Xeon CPU E7-4809 v4 2.10 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-4850 v4 2.10 GHz),Yes,64,4,16,1,109.0,113.0,Intel Xeon E7-4850 v4 2.10 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-4830 v4 2.00 GHz),Yes,56,4,14,1,103.0,109.0,Intel Xeon E7-4830 v4 2.00 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-8870 v4 2.10 GHz),Yes,80,4,20,1,117.0,122.0,Intel Xeon E7-8870 v4 2.10 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-8880 v4 2.20 GHz),Yes,88,4,22,1,121.0,127.0,Intel Xeon E7-8880 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-8890 v4 2.20 GHz),Yes,96,4,24,1,122.0,129.0,Intel Xeon E7-8890 v4 2.20 GHz
Cisco Systems,Cisco UCS B460 M4 (Intel Xeon E7-8860 v4 2.20 GHz),Yes,72,4,18,1,121.0,127.0,Intel Xeon E7-8860 v4 2.20 GHz
Fujitsu,"PRIMERGY TX1310 M3, (Intel Xeon E3-1245 v6, 3.7GHz)",Yes,4,1,4,1,102.0,103.0,Intel Xeon E3-1245 v6
HPE,"Synergy 620 Gen9 (2.40 GHz, Intel Xeon E7-8894 v4)",Yes,48,2,24,1,112.0,117.0,Intel Xeon E7-8894 v4
HPE,"ProLiant DL580 Gen9 (2.40 GHz, Intel Xeon E7-8894 v4)",Yes,96,4,24,1,121.0,127.0,Intel Xeon E7-8894 v4
HPE,"Synergy 680 Gen9 (2.40 GHz, Intel Xeon E7-8894 v4)",Yes,96,4,24,1,120.0,127.0,Intel Xeon E7-8894 v4
HPE,"ProLiant DL20 Gen9 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1280 v6
HPE,"ProLiant ML30 Gen9 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1280 v6
Huawei,Huawei XH321 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,121.0,127.0,Intel Xeon E5-2699A v4
Huawei,Huawei XH628 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,121.0,127.0,Intel Xeon E5-2699A v4
Huawei,Huawei XH620 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,121.0,127.0,Intel Xeon E5-2699A v4
Huawei,Huawei XH622 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,121.0,127.0,Intel Xeon E5-2699A v4
Huawei,Huawei CH121 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,122.0,128.0,Intel Xeon E5-2699A v4
Huawei,Huawei RH2288H V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,122.0,128.0,Intel Xeon E5-2699A v4
Inspur Corporation,Inspur NF5180M4 (Intel Xeon E5-2698 v4),Yes,40,2,20,1,116.0,122.0,Intel Xeon E5-2698 v4
Lenovo Group Limited,"Lenovo System x3550 M5 (2.60 GHz, Intel Xeon E5-2697A v4)",Yes,32,2,16,1,120.0,124.0,Intel Xeon E5-2697A v4
Lenovo Group Limited,"Lenovo NeXtScale nx360 M5 (2.60 GHz, Intel Xeon E5-2697A v4)",Yes,32,2,16,1,120.0,124.0,Intel Xeon E5-2697A v4
Lenovo Group Limited,"Lenovo ThinkServer TS150 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1280 v6
Lenovo Group Limited,"Lenovo System x3250 M6 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1280 v6
Lenovo Group Limited,"Lenovo System x3650 M5 (2.60 GHz, Intel Xeon E5-2697A v4)",Yes,32,2,16,1,120.0,124.0,Intel Xeon E5-2697A v4
Lenovo Group Limited,"Lenovo ThinkServer RS160 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1280 v6
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1280 v6
NEC Corporation,Express5800/GT110i (Intel Xeon E3-1220 v6),Yes,4,1,4,1,94.3,95.9,Intel Xeon E3-1220 v6
NEC Corporation,Express5800/GT110i (Intel Pentium G4560),Yes,2,1,2,1,75.9,76.6,Intel Pentium G4560
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1220 v6),Yes,4,1,4,1,94.2,95.8,Intel Xeon E3-1220 v6
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1225 v6),Yes,4,1,4,1,97.5,99.0,Intel Xeon E3-1225 v6
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1230 v6),Yes,4,1,4,1,101.0,103.0,Intel Xeon E3-1230 v6
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1240L v5),Yes,4,1,4,1,86.1,87.8,Intel Xeon E3-1240L v5
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1260L v5),Yes,4,1,4,1,97.5,99.1,Intel Xeon E3-1260L v5
NEC Corporation,Express5800/R110i-1 (Intel Pentium G4560),Yes,2,1,2,1,75.8,76.5,Intel Pentium G4560
NEC Corporation,Express5800/T110i (Intel Xeon E3-1225 v6),Yes,4,1,4,1,97.4,99.0,Intel Xeon E3-1225 v6
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1270 v6),Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1270 v6
NEC Corporation,Express5800/T110i (Intel Xeon E3-1220 v6),Yes,4,1,4,1,94.3,95.8,Intel Xeon E3-1220 v6
NEC Corporation,Express5800/T110i (Intel Xeon E3-1230 v6),Yes,4,1,4,1,101.0,103.0,Intel Xeon E3-1230 v6
NEC Corporation,Express5800/T110i (Intel Xeon E3-1270 v6),Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1270 v6
NEC Corporation,Express5800/T110i (Intel Pentium G4560),Yes,2,1,2,1,76.0,76.6,Intel Pentium G4560
NEC Corporation,Express5800/T110i (Intel Core i3-7300),Yes,2,1,2,1,95.2,96.4,Intel Core i3-7300
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1225 v6),Yes,4,1,4,1,97.7,99.2,Intel Xeon E3-1225 v6
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1220 v6),Yes,4,1,4,1,94.1,95.7,Intel Xeon E3-1220 v6
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1230 v6),Yes,4,1,4,1,101.0,103.0,Intel Xeon E3-1230 v6
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1260L v5),Yes,4,1,4,1,97.4,99.2,Intel Xeon E3-1260L v5
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1240L v5),Yes,4,1,4,1,85.6,87.4,Intel Xeon E3-1240L v5
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1270 v6),Yes,4,1,4,1,106.0,108.0,Intel Xeon E3-1270 v6
NEC Corporation,Express5800/T110i-S (Intel Pentium G4560),Yes,2,1,2,1,75.9,76.6,Intel Pentium G4560
NEC Corporation,Express5800/T110i-S (Intel Core i3-7300),Yes,2,1,2,1,95.4,96.6,Intel Core i3-7300
NEC Corporation,Express5800/A2040d (Intel Xeon E7-8867 v4),Yes,72,4,18,1,120.0,126.0,Intel Xeon E7-8867 v4
NEC Corporation,Express5800/T110i (Intel Celeron G3930),Yes,2,1,2,1,63.2,63.8,Intel Celeron G3930
NEC Corporation,Express5800/GT110i (Intel Celeron G3930),Yes,2,1,2,1,63.3,63.8,Intel Celeron G3930
Supermicro,"SuperServer 5019S-L (X11SSL-F , Intel Xeon E3-1230 v6)",Yes,4,1,4,2,99.3,101.0,SSL-F 
Supermicro,"SuperServer 5019S-L (X11SSL-F , Intel Xeon E3-1240 v6)",Yes,4,1,4,2,103.0,105.0,SSL-F 
Cisco Systems,"Cisco UCS C480 M5 (Intel Xeon Platinum 8180, 2.50GHz)",Yes,112,4,28,1,150.0,Not Run,Intel Xeon Platinum 8180
