Company,System,AutoParallel,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
Fujitsu,"PRIMERGY TX1310 M3, (Intel Xeon E3-1245 v6, 3.7GHz)",Yes,4,1,4,1,72.4,74.8,Intel Xeon E3-1245 v6
HPE,"Synergy 620 Gen9 (2.40 GHz, Intel Xeon E7-8894 v4)",Yes,48,2,24,1,68.9,73.2,Intel Xeon E7-8894 v4
HPE,"Synergy 680 Gen9 (2.40 GHz, Intel Xeon E7-8894 v4)",Yes,96,4,24,1,69.8,74.0,Intel Xeon E7-8894 v4
HPE,"ProLiant DL580 Gen9 (2.40 GHz, Intel Xeon E7-8894 v4)",Yes,96,4,24,1,70.5,74.8,Intel Xeon E7-8894 v4
HPE,"ProLiant DL20 Gen9 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,77.5,80.1,Intel Xeon E3-1280 v6
HPE,"ProLiant ML30 Gen9 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,77.6,80.2,Intel Xeon E3-1280 v6
Huawei,Huawei XH622 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,72.2,74.8,Intel Xeon E5-2699A v4
Huawei,Huawei XH620 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,72.2,74.8,Intel Xeon E5-2699A v4
Huawei,Huawei XH628 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,72.2,74.8,Intel Xeon E5-2699A v4
Huawei,Huawei XH321 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,72.2,74.9,Intel Xeon E5-2699A v4
Huawei,Huawei RH2288H V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,72.8,75.5,Intel Xeon E5-2699A v4
Huawei,Huawei CH121 V3 (Intel Xeon E5-2699A v4),Yes,44,2,22,1,72.8,75.5,Intel Xeon E5-2699A v4
Inspur Corporation,Inspur NF5270M4 (Intel Xeon E5-2698 v4),Yes,40,2,20,2,68.1,72.0,Intel Xeon E5-2698 v4
Inspur Corporation,Inspur NF5280M4 (Intel Xeon E5-2660 v4),Yes,28,2,14,2,61.5,64.3,Intel Xeon E5-2660 v4
Inspur Corporation,Inspur NF5180M4 (Intel Xeon E5-2660 v4),Yes,28,2,14,2,61.2,64.1,Intel Xeon E5-2660 v4
Inspur Corporation,Inspur NF5270M4 (Intel Xeon E5-2660 v4),Yes,28,2,14,2,61.5,64.4,Intel Xeon E5-2660 v4
Inspur Corporation,Inspur NF5180M4 (Intel Xeon E5-2698 v4),Yes,40,2,20,1,70.1,73.0,Intel Xeon E5-2698 v4
Inspur Corporation,Inspur NF5280M4 (Intel Xeon E5-2698 v4),Yes,40,2,20,1,70.3,73.1,Intel Xeon E5-2698 v4
Lenovo Group Limited,"Lenovo System x3550 M5 (2.60 GHz, Intel Xeon E5-2697A v4)",Yes,32,2,16,1,71.6,73.8,Intel Xeon E5-2697A v4
Lenovo Group Limited,"Lenovo NeXtScale nx360 M5 (2.60 GHz, Intel Xeon E5-2697A v4)",Yes,32,2,16,1,71.3,73.7,Intel Xeon E5-2697A v4
Lenovo Group Limited,"Lenovo ThinkServer TS150 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,77.8,80.4,Intel Xeon E3-1280 v6
Lenovo Group Limited,"Lenovo System x3250 M6 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,77.5,80.2,Intel Xeon E3-1280 v6
Lenovo Group Limited,"Lenovo System x3650 M5 (2.60 GHz, Intel Xeon E5-2697A v4)",Yes,32,2,16,1,71.2,73.7,Intel Xeon E5-2697A v4
Lenovo Group Limited,"Lenovo ThinkServer RS160 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,78.1,80.6,Intel Xeon E3-1280 v6
Lenovo Group Limited,"Lenovo ThinkServer TS460 (3.90 GHz, Intel Xeon E3-1280 v6)",Yes,4,1,4,1,78.0,80.7,Intel Xeon E3-1280 v6
NEC Corporation,Express5800/A2040d (Intel Xeon E7-8867 v4),Yes,72,4,18,1,65.1,67.2,Intel Xeon E7-8867 v4
NEC Corporation,Express5800/GT110i (Intel Xeon E3-1220 v6),Yes,4,1,4,1,66.4,68.5,Intel Xeon E3-1220 v6
NEC Corporation,Express5800/GT110i (Intel Pentium G4560),Yes,2,1,2,1,56.0,58.2,Intel Pentium G4560
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1220 v6),Yes,4,1,4,1,66.4,68.5,Intel Xeon E3-1220 v6
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1225 v6),Yes,4,1,4,1,69.4,71.6,Intel Xeon E3-1225 v6
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1230 v6),Yes,4,1,4,1,73.0,75.4,Intel Xeon E3-1230 v6
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1240L v5),Yes,4,1,4,1,61.1,63.0,Intel Xeon E3-1240L v5
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1260L v5),Yes,4,1,4,1,72.6,75.1,Intel Xeon E3-1260L v5
NEC Corporation,Express5800/R110i-1 (Intel Pentium G4560),Yes,2,1,2,1,56.0,58.2,Intel Pentium G4560
NEC Corporation,Express5800/T110i (Intel Xeon E3-1225 v6),Yes,4,1,4,1,69.6,71.9,Intel Xeon E3-1225 v6
NEC Corporation,Express5800/R110i-1 (Intel Xeon E3-1270 v6),Yes,4,1,4,1,77.9,80.6,Intel Xeon E3-1270 v6
NEC Corporation,Express5800/T110i (Intel Xeon E3-1220 v6),Yes,4,1,4,1,66.3,68.6,Intel Xeon E3-1220 v6
NEC Corporation,Express5800/T110i (Intel Xeon E3-1230 v6),Yes,4,1,4,1,72.9,75.4,Intel Xeon E3-1230 v6
NEC Corporation,Express5800/T110i (Intel Xeon E3-1270 v6),Yes,4,1,4,1,77.9,80.6,Intel Xeon E3-1270 v6
NEC Corporation,Express5800/T110i (Intel Pentium G4560),Yes,2,1,2,1,56.0,58.2,Intel Pentium G4560
NEC Corporation,Express5800/T110i (Intel Core i3-7300),Yes,2,1,2,1,69.1,71.5,Intel Core i3-7300
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1225 v6),Yes,4,1,4,1,69.5,71.8,Intel Xeon E3-1225 v6
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1220 v6),Yes,4,1,4,1,66.5,68.6,Intel Xeon E3-1220 v6
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1230 v6),Yes,4,1,4,1,72.8,75.3,Intel Xeon E3-1230 v6
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1260L v5),Yes,4,1,4,1,72.6,75.1,Intel Xeon E3-1260L v5
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1240L v5),Yes,4,1,4,1,61.1,63.1,Intel Xeon E3-1240L v5
NEC Corporation,Express5800/T110i-S (Intel Xeon E3-1270 v6),Yes,4,1,4,1,78.0,80.7,Intel Xeon E3-1270 v6
NEC Corporation,Express5800/T110i-S (Intel Pentium G4560),Yes,2,1,2,1,56.0,58.1,Intel Pentium G4560
NEC Corporation,Express5800/T110i-S (Intel Core i3-7300),Yes,2,1,2,1,69.1,71.6,Intel Core i3-7300
NEC Corporation,Express5800/T110i (Intel Celeron G3930),Yes,2,1,2,1,46.0,47.7,Intel Celeron G3930
NEC Corporation,Express5800/GT110i (Intel Celeron G3930),Yes,2,1,2,1,46.1,47.7,Intel Celeron G3930
Supermicro,"SuperServer 5019S-L (X11SSL-F , Intel Xeon E3-1230 v6)",Yes,4,1,4,1,72.4,74.4,SSL-F 
Supermicro,"SuperServer 5019S-L (X11SSL-F , Intel Xeon E3-1240 v6)",Yes,4,1,4,1,75.8,78.0,SSL-F 
Cisco Systems,"Cisco UCS C240 M5 (Intel Xeon Platinum 8180, 2.50GHz)",Yes,56,2,28,1,81.4,Not Run,Intel Xeon Platinum 8180
Cisco Systems,"Cisco UCS C480 M5 (Intel Xeon Platinum 8180, 2.50GHz)",Yes,112,4,28,1,80.5,Not Run,Intel Xeon Platinum 8180
Cisco Systems,"Cisco UCS C240 M5 (Intel Xeon Platinum 8170, 2.10GHz)",Yes,52,2,26,1,78.8,81.9,Intel Xeon Platinum 8170
Cisco Systems,"Cisco UCS C240 M5 (Intel Xeon Gold 6130, 2.10GHz)",Yes,32,2,16,1,74.5,77.6,Intel Xeon Gold 6130
Cisco Systems,"Cisco UCS C240 M5 (Intel Xeon Platinum 8176, 2.10GHz)",Yes,56,2,28,1,80.5,83.6,Intel Xeon Platinum 8176
Cisco Systems,"Cisco UCS C240 M5 (Intel Xeon Gold 6140M, 2.30GHz)",Yes,36,2,18,1,75.2,78.7,Intel Xeon Gold 6140M
Cisco Systems,"Cisco UCS C480 M5 (Intel Xeon Platinum 8170, 2.10GHz)",Yes,104,4,26,1,78.3,81.5,Intel Xeon Platinum 8170
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Platinum 8160 2.10GHz),Yes,96,4,24,1,77.4,81.0,Intel Xeon Platinum 8160 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 6152 2.10GHz),Yes,88,4,22,1,78.1,81.4,Intel Xeon Gold 6152 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 6130 2.10GHz),Yes,64,4,16,1,75.5,79.3,Intel Xeon Gold 6130 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 6144 3.50GHz),Yes,32,4,8,1,83.9,87.8,Intel Xeon Gold 6144 3.50GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Platinum 8176 2.10GHz),Yes,112,4,28,1,76.2,79.1,Intel Xeon Platinum 8176 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 5120 2.20GHz),Yes,56,4,14,1,65.3,68.6,Intel Xeon Gold 5120 2.20GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 5118 2.30GHz),Yes,48,4,12,1,64.8,67.9,Intel Xeon Gold 5118 2.30GHz
