Company,System,BaseCopies,EnabledCores,EnabledChips,ThreadsPerCore,Base,Peak,BaseEnergy,PeakEnergy,CPU,SCPU,CPU0
HPE,"ProLiant DL380 Gen10 (3.20 GHz, Intel Xeon Gold 6146)",48,24,2,2,163.0,Not Run,--,--,"3.20 GHz, Intel Xeon Gold 6146",Intel Xeon Gold 6146,Intel Xeon Gold 6146
HPE,"ProLiant DL360 Gen10 (3.00 GHz, Intel Xeon Gold 6136)",48,24,2,2,149.0,Not Run,--,--,"3.00 GHz, Intel Xeon Gold 6136",Intel Xeon Gold 6136,Intel Xeon Gold 6136
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Gold 6130)",64,32,2,2,162.0,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6130",Intel Xeon Gold 6130,Intel Xeon Gold 6130
HPE,"Synergy 480 Gen10 (2.10 GHz, Intel Xeon Gold 6130)",64,32,2,2,160.0,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6130",Intel Xeon Gold 6130,Intel Xeon Gold 6130
HPE,"ProLiant DL360 Gen10 (3.20 GHz, Intel Xeon Gold 6134)",32,16,2,2,106.0,Not Run,--,--,"3.20 GHz, Intel Xeon Gold 6134",Intel Xeon Gold 6134,Intel Xeon Gold 6134
HPE,"ProLiant DL380 Gen10 (2.20 GHz, Intel Xeon Silver 4114)",40,20,2,2,93.6,Not Run,--,--,"2.20 GHz, Intel Xeon Silver 4114",Intel Xeon Silver 4114,Intel Xeon Silver 4114
HPE,"ProLiant DL360 Gen10 (2.20 GHz, Intel Xeon Silver 4114)",40,20,2,2,93.2,Not Run,--,--,"2.20 GHz, Intel Xeon Silver 4114",Intel Xeon Silver 4114,Intel Xeon Silver 4114
HPE,"ProLiant DL380 Gen10 (2.20 GHz, Intel Xeon Gold 5120)",56,28,2,2,135.0,143,--,--,"2.20 GHz, Intel Xeon Gold 5120",Intel Xeon Gold 5120,Intel Xeon Gold 5120
HPE,"ProLiant DL560 Gen10 (3.00 GHz, Intel Xeon Platinum 8158)",96,48,4,2,288.0,Not Run,--,--,"3.00 GHz, Intel Xeon Platinum 8158",Intel Xeon Platinum 8158,Intel Xeon Platinum 8158
HPE,"ProLiant DL360 Gen10 (2.70 GHz, Intel Xeon Platinum 8168)",96,48,2,2,253.0,Not Run,--,--,"2.70 GHz, Intel Xeon Platinum 8168",Intel Xeon Platinum 8168,Intel Xeon Platinum 8168
HPE,"ProLiant DL380 Gen10 (2.10 GHz, Intel Xeon Gold 6152)",88,44,2,2,210.0,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6152",Intel Xeon Gold 6152,Intel Xeon Gold 6152
HPE,"ProLiant DL380 Gen10 (2.30 GHz, Intel Xeon Gold 6140)",72,36,2,2,187.0,200,--,--,"2.30 GHz, Intel Xeon Gold 6140",Intel Xeon Gold 6140,Intel Xeon Gold 6140
HPE,"ProLiant DL380 Gen10 (1.80 GHz, Intel Xeon Silver 4108)",32,16,2,2,65.5,Not Run,--,--,"1.80 GHz, Intel Xeon Silver 4108",Intel Xeon Silver 4108,Intel Xeon Silver 4108
HPE,"ProLiant DL380 Gen10 (2.60 GHz, Intel Xeon Silver 4112)",16,8,2,2,44.0,Not Run,--,--,"2.60 GHz, Intel Xeon Silver 4112",Intel Xeon Silver 4112,Intel Xeon Silver 4112
HPE,"ProLiant DL380 Gen10 (3.40 GHz, Intel Xeon Gold 6128)",24,12,2,2,82.7,87.7,--,--,"3.40 GHz, Intel Xeon Gold 6128",Intel Xeon Gold 6128,Intel Xeon Gold 6128
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Platinum 8176)",112,56,2,2,245.0,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8176",Intel Xeon Platinum 8176,Intel Xeon Platinum 8176
HPE,"ProLiant DL580 Gen10 (2.10 GHz, Intel Xeon Gold 6130)",128,64,4,2,299.0,317,--,--,"2.10 GHz, Intel Xeon Gold 6130",Intel Xeon Gold 6130,Intel Xeon Gold 6130
HPE,"ProLiant DL360 Gen10 (2.60 GHz, Intel Xeon Gold 6126)",48,24,2,2,136.0,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6126",Intel Xeon Gold 6126,Intel Xeon Gold 6126
HPE,"ProLiant DL380 Gen10 (2.40 GHz, Intel Xeon Gold 6148)",80,40,2,2,202.0,Not Run,--,--,"2.40 GHz, Intel Xeon Gold 6148",Intel Xeon Gold 6148,Intel Xeon Gold 6148
HPE,"ProLiant DL360 Gen10 (2.60 GHz, Intel Xeon Silver 4112)",16,8,2,2,44.1,Not Run,--,--,"2.60 GHz, Intel Xeon Silver 4112",Intel Xeon Silver 4112,Intel Xeon Silver 4112
HPE,"ProLiant DL560 Gen10 (3.60 GHz, Intel Xeon Platinum 8156)",32,16,4,2,111.0,Not Run,--,--,"3.60 GHz, Intel Xeon Platinum 8156",Intel Xeon Platinum 8156,Intel Xeon Platinum 8156
HPE,"Synergy 480 Gen10 (3.00 GHz, Intel Xeon Gold 6154)",72,36,2,2,211.0,Not Run,--,--,"3.00 GHz, Intel Xeon Gold 6154",Intel Xeon Gold 6154,Intel Xeon Gold 6154
HPE,"ProLiant DL560 Gen10 (2.00 GHz, Intel Xeon Platinum 8153)",128,64,4,2,281.0,Not Run,--,--,"2.00 GHz, Intel Xeon Platinum 8153",Intel Xeon Platinum 8153,Intel Xeon Platinum 8153
HPE,"ProLiant DL360 Gen10 (2.70 GHz, Intel Xeon Gold 6150)",72,36,2,2,193.0,Not Run,--,--,"2.70 GHz, Intel Xeon Gold 6150",Intel Xeon Gold 6150,Intel Xeon Gold 6150
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Silver 4116)",48,24,2,2,109.0,Not Run,--,--,"2.10 GHz, Intel Xeon Silver 4116",Intel Xeon Silver 4116,Intel Xeon Silver 4116
HPE,"ProLiant DL560 Gen10 (2.10 GHz, Intel Xeon Platinum 8160)",192,96,4,2,431.0,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8160",Intel Xeon Platinum 8160,Intel Xeon Platinum 8160
HPE,"ProLiant DL380 Gen10 (2.60 GHz, Intel Xeon Gold 6142)",64,32,2,2,179.0,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6142",Intel Xeon Gold 6142,Intel Xeon Gold 6142
HPE,"ProLiant DL380 Gen10 (2.70 GHz, Intel Xeon Gold 6150)",72,36,2,2,200.0,Not Run,--,--,"2.70 GHz, Intel Xeon Gold 6150",Intel Xeon Gold 6150,Intel Xeon Gold 6150
HPE,"ProLiant DL385 Gen10 (2.20 GHz, AMD EPYC 7601)",128,64,2,2,271.0,299,--,--,"2.20 GHz, AMD EPYC 7601",AMD EPYC 7601,AMD EPYC 7601
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Silver 4110)",32,16,2,2,72.9,Not Run,--,--,"2.10 GHz, Intel Xeon Silver 4110",Intel Xeon Silver 4110,Intel Xeon Silver 4110
HPE,"ProLiant DL380 Gen10 (2.60 GHz, Intel Xeon Gold 6132)",56,28,2,2,160.0,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6132",Intel Xeon Gold 6132,Intel Xeon Gold 6132
HPE,"ProLiant DL360 Gen10 (2.60 GHz, Intel Xeon Gold 6132)",56,28,2,2,156.0,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6132",Intel Xeon Gold 6132,Intel Xeon Gold 6132
HPE,"ProLiant DL360 Gen10 (1.80 GHz, Intel Xeon Silver 4108)",32,16,2,2,65.5,Not Run,--,--,"1.80 GHz, Intel Xeon Silver 4108",Intel Xeon Silver 4108,Intel Xeon Silver 4108
HPE,"ProLiant DL380 Gen10 (3.60 GHz, Intel Xeon Gold 5122)",16,8,2,2,56.6,Not Run,--,--,"3.60 GHz, Intel Xeon Gold 5122",Intel Xeon Gold 5122,Intel Xeon Gold 5122
HPE,"ProLiant DL380 Gen10 (3.40 GHz, Intel Xeon Gold 6128)",24,12,2,2,83.3,Not Run,--,--,"3.40 GHz, Intel Xeon Gold 6128",Intel Xeon Gold 6128,Intel Xeon Gold 6128
HPE,"ProLiant DL360 Gen10 (2.30 GHz, Intel Xeon Gold 6140)",72,36,2,2,182.0,Not Run,--,--,"2.30 GHz, Intel Xeon Gold 6140",Intel Xeon Gold 6140,Intel Xeon Gold 6140
HPE,"ProLiant DL360 Gen10 (2.00 GHz, Intel Xeon Gold 6138)",80,40,2,2,181.0,Not Run,--,--,"2.00 GHz, Intel Xeon Gold 6138",Intel Xeon Gold 6138,Intel Xeon Gold 6138
HPE,"ProLiant DL380 Gen10 (3.20 GHz, Intel Xeon Gold 6134)",32,16,2,2,108.0,Not Run,--,--,"3.20 GHz, Intel Xeon Gold 6134",Intel Xeon Gold 6134,Intel Xeon Gold 6134
HPE,"ProLiant DL360 Gen10 (2.60 GHz, Intel Xeon Gold 6142)",64,32,2,2,171.0,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6142",Intel Xeon Gold 6142,Intel Xeon Gold 6142
HPE,"ProLiant DL380 Gen10 (2.00 GHz, Intel Xeon Gold 6138)",80,40,2,2,188.0,Not Run,--,--,"2.00 GHz, Intel Xeon Gold 6138",Intel Xeon Gold 6138,Intel Xeon Gold 6138
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Gold 6152)",88,44,2,2,199.0,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6152",Intel Xeon Gold 6152,Intel Xeon Gold 6152
HPE,"ProLiant DL360 Gen10 (3.00 GHz, Intel Xeon Platinum 8158)",48,24,2,2,145.0,Not Run,--,--,"3.00 GHz, Intel Xeon Platinum 8158",Intel Xeon Platinum 8158,Intel Xeon Platinum 8158
HPE,"Synergy 480 Gen10 (2.60 GHz, Intel Xeon Gold 6142)",64,32,2,2,172.0,Not Run,--,--,"2.60 GHz, Intel Xeon Gold 6142",Intel Xeon Gold 6142,Intel Xeon Gold 6142
HPE,"ProLiant ML30 Gen9 (3.50 GHz, Intel Xeon E3-1230 v6)",8,4,1,2,26.2,Not Run,--,--,"3.50 GHz, Intel Xeon E3-1230 v6",Intel Xeon E3-1230 v6,Intel Xeon E3-1230 v6
HPE,"Synergy 480 Gen10 (2.10 GHz, Intel Xeon Gold 6152)",88,44,2,2,205.0,Not Run,--,--,"2.10 GHz, Intel Xeon Gold 6152",Intel Xeon Gold 6152,Intel Xeon Gold 6152
HPE,"ProLiant DL385 Gen10 (2.20 GHz, AMD EPYC 7601)",128,64,2,2,272.0,300,--,--,"2.20 GHz, AMD EPYC 7601",AMD EPYC 7601,AMD EPYC 7601
HPE,"ProLiant DL360 Gen10 (2.00 GHz, Intel Xeon Platinum 8164)",104,52,2,2,221.0,Not Run,--,--,"2.00 GHz, Intel Xeon Platinum 8164",Intel Xeon Platinum 8164,Intel Xeon Platinum 8164
HPE,"ProLiant DL360 Gen10 (3.00 GHz, Intel Xeon Gold 6154)",72,36,2,2,207.0,Not Run,--,--,"3.00 GHz, Intel Xeon Gold 6154",Intel Xeon Gold 6154,Intel Xeon Gold 6154
HPE,"ProLiant DL360 Gen10 (2.10 GHz, Intel Xeon Platinum 8160)",96,48,2,2,216.0,Not Run,--,--,"2.10 GHz, Intel Xeon Platinum 8160",Intel Xeon Platinum 8160,Intel Xeon Platinum 8160
HPE,"Synergy 480 Gen10 (2.40 GHz, Intel Xeon Gold 6148)",80,40,2,2,201.0,Not Run,--,--,"2.40 GHz, Intel Xeon Gold 6148",Intel Xeon Gold 6148,Intel Xeon Gold 6148
